Entity,Code,Year,Wind (% growth)
Middle East (BP),,2012,31.654035568237305
Middle East (BP),,2013,-20.152729034423828
Middle East (BP),,2014,-6.875216960906982
Middle East (BP),,2015,27.78557586669922
Middle East (BP),,2016,100.64935302734375
Middle East (BP),,2017,40.82965850830078
Middle East (BP),,2018,85.05040740966797
Middle East (BP),,2019,10.242700576782227
Middle East (BP),,2020,62.04246139526367
Middle East (BP),,2021,10.503792762756348
Morocco,MAR,2001,221.56248474121094
Morocco,MAR,2002,-5.782312393188477
Morocco,MAR,2003,4.589998722076416
Morocco,MAR,2004,-1.9230782985687256
Morocco,MAR,2005,3.7204623222351074
Morocco,MAR,2006,-11.197286605834961
Morocco,MAR,2007,52.23798751831055
Morocco,MAR,2008,6.920051574707031
Morocco,MAR,2009,31.153583526611328
Morocco,MAR,2010,68.44796752929688
Morocco,MAR,2011,5.069828033447266
Morocco,MAR,2012,5.1719069480896
Morocco,MAR,2013,66.88187408447266
Morocco,MAR,2014,58.35047912597656
Morocco,MAR,2015,30.959558486938477
Morocco,MAR,2016,19.07993507385254
Morocco,MAR,2017,1.159965991973877
Morocco,MAR,2018,26.55254554748535
Morocco,MAR,2019,22.351062774658203
Morocco,MAR,2020,-2.283358573913574
Morocco,MAR,2021,11.21060848236084
Netherlands,NLD,1987,100
Netherlands,NLD,1988,700
Netherlands,NLD,1989,43.7499885559082
Netherlands,NLD,1990,143.478271484375
Netherlands,NLD,1991,57.142852783203125
Netherlands,NLD,1992,67.04544830322266
Netherlands,NLD,1993,18.367338180541992
Netherlands,NLD,1994,36.781620025634766
Netherlands,NLD,1995,33.19327926635742
Netherlands,NLD,1996,37.85488510131836
Netherlands,NLD,1997,8.695650100708008
Netherlands,NLD,1998,34.73683547973633
Netherlands,NLD,1999,0.78125
Netherlands,NLD,2000,28.527141571044922
Netherlands,NLD,2001,-0.4825115203857422
Netherlands,NLD,2002,14.666664123535156
Netherlands,NLD,2003,39.32345962524414
Netherlands,NLD,2004,41.65402603149414
Netherlands,NLD,2005,10.712373733520508
Netherlands,NLD,2006,32.26898956298828
Netherlands,NLD,2007,25.713241577148438
Netherlands,NLD,2008,23.896800994873047
Netherlands,NLD,2009,7.632088661193848
Netherlands,NLD,2010,-12.878769874572754
Netherlands,NLD,2011,27.72600555419922
Netherlands,NLD,2012,-2.3203492164611816
Netherlands,NLD,2013,12.953460693359375
Netherlands,NLD,2014,3.0243754386901855
Netherlands,NLD,2015,30.23008155822754
Netherlands,NLD,2016,8.219802856445312
Netherlands,NLD,2017,29.353845596313477
Netherlands,NLD,2018,-0.1919865608215332
Netherlands,NLD,2019,9.09527587890625
Netherlands,NLD,2020,33.29186248779297
Netherlands,NLD,2021,16.65688705444336
New Zealand,NZL,1993,42.69013214111328
New Zealand,NZL,1994,2.458977699279785
New Zealand,NZL,1995,0
New Zealand,NZL,1996,724.2999877929688
New Zealand,NZL,1997,63.26118850708008
New Zealand,NZL,1998,62.35409927368164
New Zealand,NZL,1999,76.68086242675781
New Zealand,NZL,2000,208.28173828125
New Zealand,NZL,2001,15.622747421264648
New Zealand,NZL,2002,11.868143081665039
New Zealand,NZL,2003,-5.75123405456543
New Zealand,NZL,2004,146.71371459960938
New Zealand,NZL,2005,69.93737030029297
New Zealand,NZL,2006,1.2745976448059082
New Zealand,NZL,2007,49.44626235961914
New Zealand,NZL,2008,13.827371597290039
New Zealand,NZL,2009,39.49172592163086
New Zealand,NZL,2010,10.885143280029297
New Zealand,NZL,2011,19.54848861694336
New Zealand,NZL,2012,6.232142448425293
New Zealand,NZL,2013,-2.757084369659424
New Zealand,NZL,2014,9.36526107788086
New Zealand,NZL,2015,6.914997100830078
New Zealand,NZL,2016,-0.9882926940917969
New Zealand,NZL,2017,-10.668158531188965
New Zealand,NZL,2018,-1.103907823562622
New Zealand,NZL,2019,9.076631546020508
New Zealand,NZL,2020,2.178049087524414
New Zealand,NZL,2021,14.634561538696289
Non-OECD (BP),,1991,258.25506591796875
Non-OECD (BP),,1992,79.49714660644531
Non-OECD (BP),,1993,41.33129119873047
Non-OECD (BP),,1994,89.0512466430664
Non-OECD (BP),,1995,91.26483154296875
Non-OECD (BP),,1996,-9.18790054321289
Non-OECD (BP),,1997,27.323209762573242
Non-OECD (BP),,1998,20.033693313598633
Non-OECD (BP),,1999,36.5889892578125
