Entity,Code,Year,Hydro (% growth)
Algeria,DZA,2003,364.9122619628906
Algeria,DZA,2004,-5.283016204833984
Algeria,DZA,2005,121.23506164550781
Algeria,DZA,2006,-60.8139762878418
Algeria,DZA,2007,3.860294818878174
Algeria,DZA,2008,25.221240997314453
Algeria,DZA,2009,20.848060607910156
Algeria,DZA,2010,-49.41520690917969
Algeria,DZA,2011,118.49710845947266
Algeria,DZA,2012,2.9100537300109863
Algeria,DZA,2013,-74.55012512207031
Algeria,DZA,2014,94.94949340820312
Algeria,DZA,2015,-24.870468139648438
Algeria,DZA,2016,-50.344825744628906
Algeria,DZA,2017,-22.22221565246582
Algeria,DZA,2018,108.92855834960938
Algeria,DZA,2019,29.914522171020508
Algeria,DZA,2020,-67.36841583251953
Algeria,DZA,2021,-81.25
Argentina,ARG,1966,1.2908101081848145
